STT,nameProject_VNI,nameProject_ENG,difficulty_level,codeSememter,major,specialization,university,note
1,Xây dựng hệ thống quản lý sân cầu lông,,1,232,,,UIT,
2,Tìm hiểu công nghệ Web 3.0 và ứng dụng web 3.0 vào thực tiễn,,1,232,,,UIT,
3,Xây dựng hệ thống trợ giúp tư vấn hướng nghiệp và chọn ngành cho học sinh THPT,,1,232,,,UIT,
4,Xây dựng mạng xã hội kết hợp chatbot cho người nuôi thú cưng,,1,232,,,UIT,
5,Tìm hiểu Chatbot và xây dựng ứng dụng hỗ trợ tư vấn thuê bất động sản,,1,232,,,UIT,
6,Tìm hiểu Chatbot và xây dựng ứng dụng hỗ trợ tư vấn mua bán bất động sản,,1,232,,,UIT,
7,Nghiên cứu và thử nghiệm một số phương pháp định giá BĐS,,1,232,,,UIT,
8,Phân tích xu hướng bất động sản bằng Machine Learning kết hợp lịch sử giá và tin tức,,1,232,,,UIT,
9,Xây dựng hệ thống quản lý phòng trọ và gợi ý cho thuê phòng trọ.,,1,232,,,UIT,
10,Xây dựng Ứng dụng đi chợ trực tuyến tích hợp gợi ý món ăn,,1,232,,,UIT,
11,Xây dựng Shop quần áo online tích hợp gợi ý sản phẩm,,1,232,,,UIT,
12,Xây dựng Ứng dụng nghe nhạc và gợi ý bài hát,,1,232,,,UIT,
13,Tìm hiểu và phát triển ứng dụng giúp việc và cho thuê với Flutter,,1,232,,,UIT,
14,Nghiên cứu công nghệ livestream và xây dựng ứng dụng minh hoạ,,1,232,,,UIT,
15,Nghiên cứu công nghệ blockchain và ứng dụng vào game,,1,232,,,UIT,
16,Nghiên cứu hệ khuyến nghị trong hệ thống thương mại điện tử,,1,232,,,UIT,
17,Nghiên cứu hệ thống phân tán và ứng dụng minh hoạ,,1,232,,,UIT,
18,Nghiên cứu các kĩ thuật đồng thuận trong blockchain,,1,232,,,UIT,
19,Nghiên cứu blockchain bridge và ứng dụng,,1,232,,,UIT,
20,Xây dựng ứng dụng Web DeFi trên Blockchain,,1,232,,,UIT,
21,Xây dựng ứng dụng hỗ trợ học tiếng anh trên thiết bị di động có áp dụng mô hình trí tuệ nhân tạo.,,1,232,,,UIT,
22,phát triển ứng dụng hỗ trợ học tiếng Anh kết hợp AI,,1,232,,,UIT,
23,Sign Language Detection,,1,232,,,UIT,
24,Phát triển ứng dụng mua đồ ăn trực tuyến kết hợp tính năng đăng bài và gợi ý người dùng,,1,232,,,UIT,
25,Phát triển game3D tương tác và thực thể ảo AR với Unity trên môi trường Android,,1,232,,,UIT,
26,Phát triển ứng dụng phân tích dữ liệu y khoa trong xét nghiệm máu,,1,232,,,UIT,
27,"Tìm hiểu Thị giác máy tính vận dụng trong phát triển ứng dụng Game 3D tương tác, Thực thể ảo AR.",,1,232,,,UIT,
28,Dự báo qua hành vi mua sắm của người tiêu dùng trong hoạt động kinh doanh hàng tiêu dùng,,1,232,,,UIT,
29,Xây dựng hệ thống tư vấn chọn ngành Đại học cho học sinh Trung học Phổ Thông,,1,232,,,UIT,
30,Phát triển ứng dụng hỗ trợ trẻ em tự kỷ,,1,232,,,UIT,
31,Thiết kế Micro Front End với React Native,,1,232,,,UIT,
32,Thiết kế hệ thống với K8s,,1,232,,,UIT,
33,"Tìm hiểu về Flutter, clean architecture và xây dựng Ứng dụng chia sẻ công thức nấu ăn",,1,232,,,UIT,
34,Thiết kế hệ thống với Spring Boot,,1,232,,,UIT,
35,Phân tích hệ thống khuyến mãi (promotion) cho bán hàng đa kênh (Omnichannel),,1,232,,,UIT,
36,Phân tích hệ thống e-catalog sản phẩm cho bán hàng đa kênh (Omnichannel),,1,232,,,UIT,
37,Phân tích hệ thống e-shopping cart cho bán hàng đa kênh (Omnichannel),,1,232,,,UIT,
38,Công cụ AI tốt nhất dành cho việc lập trình,,1,232,,,UIT,
39,Dự đoán trên dữ liệu chuỗi thời gian với Transformer (Time Series Prediction with Transformers),,1,232,,,UIT,
40,Xây dựng Chrome extension hữu ích cho sinh viên UIT,,1,232,,,UIT,
41,Xây dựng ứng dụng Sổ tay tài chính,,1,232,,,UIT,
42,Xây dựng ứng dụng Sổ tay mua sắm trực tuyến,,1,232,,,UIT,
43,Tìm hiểu cách tối ưu hoá truy vấn trên Big Data,,1,232,,,UIT,
44,Xây dựng ứng dụng tin tức sinh viên mềm,,1,232,,,UIT,
45,Xây dựng ứng dụng mua sắm đa sàn tích hợp,,1,232,,,UIT,
46,Xây dựng chức năng gợi ý bài hát cho web nghe nhạc trực tuyến,,1,232,,,UIT,
47,Phát triển ứng dụng hỗ trợ lập kế hoạch lịch trình sự kiện,,1,232,,,UIT,
48,Xây dựng ứng dụng bản đồ tai nạn giao thông ở Việt Nam,,1,232,,,UIT,
49,Xây dựng ứng dụng nhật ký âm nhạc,,1,232,,,UIT,
50,Tìm hiểu kỹ thuật lập trình mạng và tối ưu đường truyền,,1,232,,,UIT,
51,Xây dựng website nghe nhạc kết hợp gợi ý và tìm kiếm giai điệu,,1,232,,,UIT,
52,Tìm hiểu và xây dựng hệ thống truy vấn dựa trên ngữ nghĩa: Ứng dụng trong lĩnh vực pháp luật,,1,232,,,UIT,
53,Xây dựng website nghe nhạc trực tuyến tích hợp hệ thống khuyến nghị,,1,232,,,UIT,
54,Xây dựng ứng dụng quản lý chi tiêu,,1,232,,,UIT,
55,Xây dựng ứng dụng hẹn hò và kết bạn,,1,232,,,UIT,
56,Xây dựng website quản lý cửa hàng café,,1,232,,,UIT,
57,Xây dựng website thương mại điện tử bán giày dép,,1,232,,,UIT,
58,Xây dựng website thương mại điện tử cho hệ thống nhà sách,,1,232,,,UIT,
59,Xây dựng website quản lý trang trại heo,,1,232,,,UIT,
60,Xây dựng website quản lý nhân sự cho doanh nghiệp IT quy mô nhỏ,,1,232,,,UIT,
61,Xây dựng hệ thống kỹ năng cho game nhập vai 2D,,1,232,,,UIT,
62,Xây dựng website đặt phòng khách sạn bằng kiến trúc Microservice kết hợp sử dụng gRPC,,1,232,,,UIT,
63,Xây dựng ứng dụng quản lý quán café trên nền tảng windows và mobile,,1,232,,,UIT,
64,Xây dựng ứng dụng quản lý tài chính trên thiết bị di động,,1,232,,,UIT,
65,Xây dựng ứng dụng mua bán cây cảnh,,1,232,,,UIT,
66,Xây dựng website mạng xã hội truyện tranh,,1,232,,,UIT,
67,Xây dựng ứng dụng chia sẻ phương pháp học tập,,1,232,,,UIT,
68,Xây dựng ứng dụng tìm bạn ở ghép phòng trọ,,1,232,,,UIT,
69,Xây dựng ứng dụng chia sẻ thực phẩm,,1,232,,,UIT,
70,Xây dựng ứng dụng quản lý quy trình thực hiện đề tài NCKH sinh viên,,1,232,,,UIT,
71,Xây dựng ứng dụng quản lý lịch sử các hoạt động của gia đình,,1,232,,,UIT,
72,Sử dụng Google ML Kit để xây dựng ứng dụng đọc hóa đơn tự động với Flutter,,1,232,,,UIT,
73,Sử dụng Google ML Kit để xây dựng ứng dụng học các tư thế Yoga với Flutter,,1,232,,,UIT,
74,Sử dụng Google ML Kit để xây dựng mini game với Flutter,,1,232,,,UIT,
75,Xây dựng ứng dụng phát nhạc theo cảm xúc khuôn mặt với React Native,,1,232,,,UIT,
76,Xây dựng ứng dụng điểm danh tự động bằng khuôn mặt với React Native,,1,232,,,UIT,
77,Xây dựng website thương mại điện tử dựa trên mô hình microservice và cơ sở dữ liệu phân tán,,1,232,,,UIT,
78,Xây dựng website quản lý nhân sự,,1,232,,,UIT,
79,Phát triển sàn thương mại mua bán sản phẩm điện tử,,1,232,,,UIT,
80,Xây dựng trang nghe nhạc trực tuyến với mô hình gói đăng ký,,1,232,,,UIT,
81,Game 2D multiplayer nền tảng di động,,1,232,,,UIT,
82,Ứng dụng quản lý mua sắm đồ điện tử online có thanh toán qua Momo,,1,232,,,UIT,
83,"Tìm hiểu Flutter, BloC và xây dựng ứng dụng quản lý công việc",,1,232,,,UIT,
84,"Ứng dụng nhắn tin kết bạn, bảo vệ người dùng khỏi tin nhắn quấy rối",,1,232,,,UIT,
85,Nghiên cứu và xây dựng ứng dụng phân loại rác và gây quỹ cộng đồng,,1,232,,,UIT,
86,Xây dựng website cộng đồng cho phép đăng tải và trao đổi các bài viết,,1,232,,,UIT,
87,Nghiên cứu các phương pháp tự động sinh câu mô tả cho ảnh và xây dựng ứng dụng,,1,232,,,UIT,
88,Thiết kế game 2D Platformer theo thể loại RPG,,1,232,,,UIT,
89,Xây dựng ứng dụng siêu thị trực tuyến kết hợp gợi ý sản phẩm và dự đoán xu hướng thị trường,,1,232,,,UIT,
90,Phát triển hệ thống hỗ trợ tra cứu vùng canh tác nông nghiệp dựa trên bản đồ Open Street Map (OSM),,1,232,,,UIT,
91,Áp dụng kiến trúc Microservices vào việc phát triển hệ thống thương mại điện tử,,1,232,,,UIT,
92,Xây dựng ứng dụng đặt đồ ăn trực tuyến áp dụng hệ khuyến nghị dựa trên mức độ yêu thích của người dùng,,1,232,,,UIT,
93,Xây dựng ứng dụng hỗ trợ học nhảy,,1,232,,,UIT,
94,Tìm hiểu công nghệ Web 3.0 và ứng dụng web 3.0 vào thực tiễn,,2,232,,,UIT,
95,Xây dựng hệ thống trợ giúp tư vấn hướng nghiệp và chọn ngành cho học sinh THPT,,2,232,,,UIT,
96,Xây dựng mạng xã hội kết hợp chatbot cho người nuôi thú cưng,,2,232,,,UIT,
97,Tìm hiểu Chatbot và xây dựng ứng dụng hỗ trợ tư vấn thuê bất động sản,,2,232,,,UIT,
98,Tìm hiểu Chatbot và xây dựng ứng dụng hỗ trợ tư vấn mua bán bất động sản,,2,232,,,UIT,
99,Nghiên cứu và thử nghiệm một số phương pháp định giá BĐS,,2,232,,,UIT,
100,Phân tích xu hướng bất động sản bằng Machine Learning kết hợp lịch sử giá và tin tức,,2,232,,,UIT,
101,Xây dựng hệ thống quản lý phòng trọ và gợi ý cho thuê phòng trọ.,,2,232,,,UIT,
102,Xây dựng Ứng dụng đi chợ trực tuyến tích hợp gợi ý món ăn,,2,232,,,UIT,
103,Xây dựng Shop quần áo online tích hợp gợi ý sản phẩm,,2,232,,,UIT,
104,Xây dựng Ứng dụng nghe nhạc và gợi ý bài hát,,2,232,,,UIT,
105,Tìm hiểu và phát triển ứng dụng giúp việc và cho thuê với Flutter,,2,232,,,UIT,
106,Nghiên cứu công nghệ livestream và xây dựng ứng dụng minh hoạ,,2,232,,,UIT,
107,Nghiên cứu công nghệ blockchain và ứng dụng vào game,,2,232,,,UIT,
108,Nghiên cứu hệ khuyến nghị trong hệ thống thương mại điện tử,,2,232,,,UIT,
109,Nghiên cứu hệ thống phân tán và ứng dụng minh hoạ,,2,232,,,UIT,
110,Nghiên cứu các kĩ thuật đồng thuận trong blockchain,,2,232,,,UIT,
111,Nghiên cứu blockchain bridge và ứng dụng,,2,232,,,UIT,
112,"Xây dựng ứng dụng mua sắm quần áo tích hợp AI (Chatbot, Image search, Virtual fit)",,2,232,,,UIT,
113,"Xây dựng ứng dụng di động hỗ trợ dinh dưỡng - tích hợp công nghệ AI để nhận diện món ăn""",,2,232,,,UIT,
114,"Xây dựng website bán sách dựa trên kiến trúc Microservice""",,2,232,,,UIT,
115,Phát triển ứng dụng Fastfood Kết hợp tính năng gợi ý người dùng,,2,232,,,UIT,
116,Phát triển game3D tương tác và thực thể ảo AR với Unity trên môi trường Android,,2,232,,,UIT,
117,Phát triển ứng dụng phân tích dữ liệu y khoa trong xét nghiệm máu,,2,232,,,UIT,
118,"Tìm hiểu Thị giác máy tính vận dụng trong phát triển ứng dụng Game 3D tương tác, Thực thể ảo AR.",,2,232,,,UIT,
119,Dự báo qua hành vi mua sắm của người tiêu dùng trong hoạt động kinh doanh hàng tiêu dùng,,2,232,,,UIT,
120,Xây dựng hệ thống tư vấn chọn ngành Đại học cho học sinh Trung học Phổ Thông,,2,232,,,UIT,
121,Phát triển ứng dụng hỗ trợ trẻ em tự kỷ,,2,232,,,UIT,
122,Xây dựng Micro Front End với React Native cho Supper App Bác sĩ đồ gia đình,,2,232,,,UIT,
123,Xây dựng hệ thống với K8s,,2,232,,,UIT,
124,Xây dựng hệ thống với Net Core,,2,232,,,UIT,
125,Xây dựng hệ thống với Spring Boot,,2,232,,,UIT,
126,Xây dựng hệ thống khuyến mãi (promotion) cho bán hàng đa kênh (Omnichannel),,2,232,,,UIT,
127,Xây dựng hệ thống e-catalog sản phẩm cho bán hàng đa kênh (Omnichannel),,2,232,,,UIT,
128,Xây dựng hệ thống e-shopping cart cho bán hàng đa kênh (Omnichannel),,2,232,,,UIT,
129,Tìm hiểu về Visual Studio GitHub Copilot Extension Introduces New Features and Enhancements,,2,232,,,UIT,
130,Dự đoán trên dữ liệu chuỗi thời gian Tồn kho (Inventory) với Transformer (Time Series Prediction with Transformers),,2,232,,,UIT,
131,Thiết kế gương chiếu hậu thông minh cho xe máy,,2,232,,,UIT,
132,"Tìm hiểu về thiết kế game và xây dựng game RPG hành động, phiêu lưu, giả tưởng 2D",,2,232,,,UIT,
133,Xây dựng ứng dụng bản đồ tai nạn giao thông,,2,232,,,UIT,
134,Tìm hiểu các phương pháp tối ưu trong lập trình ứng dụng di động,,2,232,,,UIT,
135,Tìm hiểu và xây dựng ứng dụng Ecommerce tích hợp khuyến nghị,,2,232,,,UIT,
136,Nghiên cứu phương pháp rút trích thông tin từ văn bản,,2,232,,,UIT,
137,Xây dựng hệ thống đảm bảo trung thực trong mua bán và vận chuyển vật liệu xây dựng,,2,232,,,UIT,
138,Nghiên cứu các thuật toán và phát triển ứng dụng cho Game 3D,,2,232,,,UIT,
139,"Tìm hiểu các kỹ thuật dựa trên thị giác máy tính và máy học để xây dựng ứng dụng ""Just Walk Out Shopping""",,2,232,,,UIT,
140,Tìm hiểu các kỹ thuật dựa trên thị giác máy tính và máy học để xây dựng ứng dụng cho xe tự lái (Self-Driving),,2,232,,,UIT,
141,Tìm hiểu các kỹ thuật dựa trên thị giác máy tính và máy học để xây dựng ứng dụng giám sát giao thông tự động,,2,232,,,UIT,
142,Tìm hiểu các kỹ thuật dựa trên thị giác máy tính và máy học để xây dựng ứng dụng chuẩn đoán các bệnh trên lá lúa,,2,232,,,UIT,
143,Tìm hiểu các kỹ thuật dựa trên thị giác máy tính và máy học để xây dựng ứng dụng Smart Classroom Monitoring,,2,232,,,UIT,
